index,red,green,blue
0,21,19,19
1,21,19,19
2,21,19,19
3,21,19,19
4,21,19,19
5,21,19,19
6,21,19,19
7,21,19,19
8,21,19,19
9,21,19,19
10,21,19,19
11,21,19,19
12,21,19,19
13,19,19,19
14,23,22,21
15,20,20,19
16,21,19,19
17,21,19,19
18,21,19,19
19,21,19,19
20,21,19,19
21,21,19,19
22,21,19,19
23,21,19,19
24,40,32,26
25,27,26,23
26,20,20,19
27,21,19,19
28,25,21,21
29,24,22,22
30,21,19,19
31,21,19,19
32,21,19,19
33,60,34,27
34,68,40,28
35,57,38,28
36,21,19,19
37,21,19,19
38,55,32,26
39,69,38,28
40,22,20,20
41,160,93,39
42,170,110,42
43,208,159,43
44,107,61,33
45,21,19,19
46,21,19,19
47,24,22,21
48,108,61,33
49,24,22,22
50,116,67,35
51,181,125,42
52,198,141,43
53,168,105,41
54,142,82,40
55,30,25,24
56,37,27,26
57,80,44,32
58,174,111,43
59,21,19,19
60,185,130,42
61,244,223,34
62,244,225,46
63,147,88,39
64,187,128,42
65,175,115,43
66,129,76,38
67,201,152,42
68,244,222,29
69,85,47,33
70,172,111,42
71,243,225,46
72,242,217,30
73,166,103,41
74,240,211,32
75,243,225,43
76,222,184,40
77,184,130,42
78,243,225,46
79,175,117,43
80,144,87,39
81,224,188,39
82,216,177,40
83,224,187,39
84,240,215,33
85,243,225,41
86,236,204,35
87,203,159,41
88,236,205,34
89,199,152,42
90,109,61,33
91,201,151,42
92,199,151,42
93,209,168,41
94,223,188,39
95,187,132,42
96,196,139,43
97,113,65,34
98,158,93,39
99,199,152,42
